Id,SalePrice,power_lgb_1,power_lgb_2,power_lgb_3,power_lgb_4,power_lgb_5,power_lgb_6,power_lgb_7,power_lgb_8,power_lgb_9,power_lgb_10,power_lgb_11,power_lgb_12
1446,129000.0,121663.57217666082,124042.20185134963,125450.44583861827,121326.70133248901,124443.77610339446,123544.36275858687,122076.12484141783,123706.13521872231,123212.99374150403,120190.71594570232,123884.31085351239,124976.57509832816
809,159950.0,144332.85626499797,145390.13127386878,144316.27718311004,146736.98048080236,144209.81663138987,147549.2450280448,145720.9145393873,145656.03900064947,144229.63867326008,148142.013828443,144707.78237245712,145790.1992509214
1100,157000.0,162705.08897770007,175193.33412638024,165939.75014609017,170850.30319231635,165684.64893910944,171598.768103898,171355.6036648929,171373.80082206847,172873.22314303718,175563.68837402257,169469.38600309798,167340.2465626863
606,205000.0,207844.07901210742,207254.9333221907,208678.82102107495,206730.5933260639,200400.49138408812,207903.54746916422,206942.69566085766,204054.29996372538,211710.6070197899,207502.2233527358,207900.949867128,201929.39681852225
702,140000.0,141507.41053668084,143732.63347048184,144017.6434802439,142114.43784128147,140992.2442295245,141824.14136074134,144003.7217702808,141046.97491782444,147158.06347715415,142923.33819024672,142911.5722786395,139848.64717324963
222,200000.0,213424.1484576659,218747.93015152798,207900.14370475078,215198.45778425128,214871.43596274708,213612.84362081887,217286.01523005764,216567.90464847154,215676.39218212874,219072.3489682294,215249.3654751298,214944.31328032783
114,217000.0,236128.31671698083,222060.5859529897,238973.29891143073,236160.45165808135,232166.69003228075,238562.78708390583,230692.38021766683,225889.75184284672,231984.44532229836,231396.736034177,228138.62119509268,228328.33756625786
549,125000.0,121793.72612459087,131515.27373644855,122118.10711415073,126395.02168723936,125040.58190776364,127527.53380913055,126452.80751776199,127649.12576541264,129057.05233083473,128379.13707561081,125427.05749346812,125894.32544218264
1074,159500.0,148346.78291557162,149911.77819610926,153570.55256194327,151865.206159396,149442.1677232667,151545.8903850667,149514.25453606775,148445.6003381223,152095.363554913,148187.11865329792,151572.23314952204,151113.06967175793
175,184000.0,181360.05214144776,187414.8673209701,181297.35286918597,187753.65337295437,177261.50385670172,183675.95037110447,186763.30844093784,178866.8484880144,186223.7503712205,184863.35300023202,183961.40555701774,181561.15944389114
515,96500.0,91350.28071139722,92730.97318486209,84343.05544204733,89437.29411070628,92966.23536734348,88918.28206291544,90568.06272857956,90671.87525333108,90992.600249521,90165.32839694743,88615.32482638274,87443.5480817085
1351,200000.0,186026.61733374954,178670.1530246278,192917.58705023595,181257.51298196233,175742.85944897862,184535.94496021947,182494.01594025028,180010.11144107633,174821.8886072507,180548.70762905845,182467.67446304645,191680.21673814463
1146,149000.0,132475.4932754384,130065.71242119992,130776.76654168322,132091.8140268896,130513.98106991049,133918.0693054068,130611.9055808487,133159.58840636275,129742.23896556914,131910.1401686204,131498.26422672163,132172.95829574458
966,178900.0,169196.6853644162,167217.7269936696,170789.86461162684,166891.46276023256,172559.25660384295,170190.3397330732,167788.46694012894,171201.89902897875,167774.1831010483,170404.10197597527,170093.02901461427,171063.0567350139
937,184900.0,182386.39691444274,182159.82366746143,180219.4240572063,185746.23695045555,185909.90182377698,185517.98204122888,183042.691330756,184847.65363181254,183250.01027769654,184538.39388499988,184426.6331670783,184284.98076691834
286,164700.0,160102.0965977041,163495.5122823118,163194.59228066614,163836.78770361422,161640.1450769122,161196.9940224364,165050.30810520562,159030.79152689932,162056.44027116522,163015.06774915097,159757.49892194348,160844.640422601
1311,335000.0,291273.66385279887,300684.8971863844,295666.2731489409,298707.3149195185,295007.68527817714,290412.44602826756,297238.53467522573,299179.28390708467,308161.16840415687,300129.62280264427,290807.2301776234,278927.49166348943
343,87500.0,83534.72073374457,79099.84539026275,84516.76967146326,80240.62109062859,82363.98130772125,83327.42569443346,79412.85137749773,80130.36672518232,77001.04010668141,81029.17281137017,80720.68578060337,83352.86098666512
1166,233170.0,232150.0612892188,232017.19076868217,225528.0571376542,226697.02084266394,235034.7633815057,232920.26452044368,226657.55671403906,230099.37519960944,226375.16359070176,228417.55598273673,228618.66395122465,232475.37286599458
32,149350.0,140490.00191273182,141775.3733092577,141404.01740804024,137967.24938310502,142223.98662254418,140565.90342536097,141591.470992857,139388.37623973328,141768.5182601936,142290.69837598217,142781.5011847272,142035.4295107849
874,133000.0,133578.3710738969,129547.08257703173,134100.3450332869,131194.0675539073,131696.54564029298,133053.66619900343,133343.15289503842,129000.37941141601,130831.23536109361,129269.31204441283,133424.78810986006,133795.00430094724
211,98000.0,89236.68127182293,91607.67350877593,93131.47386641211,92269.0329403184,87955.18708854746,88931.16894469433,93435.00846811781,89353.89813324084,93350.67227461713,90101.55472372867,90645.31394702532,90098.03439107901
925,207500.0,185542.80948572943,186352.62913358593,182629.8130131908,192634.87560798106,182765.64400813892,180593.9561748706,187670.0011178735,185237.40785986252,187362.7394806037,190940.24101835367,184060.29971013035,187002.50431817622
406,150000.0,140026.45428568558,144199.46176945764,142229.2755596365,144264.4735016167,141602.58956508158,142859.03415582993,142219.36257899142,144056.83739829538,143123.92148187297,145428.744853738,141009.27650227235,140878.31724412632
771,134900.0,134318.01181801988,136101.67516100634,137053.20749594562,135037.16723611963,137680.70282618664,134845.08819004233,136401.39574101454,134965.15424965904,138123.44076727075,133824.47016419543,136488.58088595574,137728.21603912333
382,187750.0,200561.02417144936,199548.74137747558,195906.72854232733,198800.09985872282,199277.0787994421,201374.8304896315,197188.1831709678,198485.70201833616,198073.3381053619,199060.2094833978,198757.4849684076,197883.7043536631
890,149500.0,143853.24460185008,159261.33325592137,142447.3405187858,149999.14115535008,144960.1137411535,149300.1368653415,153058.0492911129,147037.84822312073,161569.10867609788,158024.0460070728,149749.9556903818,145499.30420567366
1201,116050.0,97897.18005056448,104647.17162336732,97239.81184504018,101811.05661932002,98364.78210002468,97997.8287653957,98065.91936601233,100728.16454999661,102173.62495731068,103062.41290731219,98153.33390941622,99213.69215462841
189,153337.0,152212.0093906832,145987.51478529064,154601.73962458293,149078.34350415177,148885.68560046708,150800.8384385967,152326.6883669278,145870.67606225595,147031.47652624556,148320.22352774016,151985.10328752856,152859.35232690824
894,165000.0,153078.40686927567,155501.58615277708,152385.40956363964,157717.92360899717,152611.97427622683,157080.87920971337,155963.4419452568,154270.67763024868,154620.44543004522,159719.6473299497,155703.9941370915,152705.31079208152
1328,130500.0,128642.40742794571,127366.16552278225,131386.3399301907,131059.78342747218,131441.4818981692,131186.78991697053,130712.72575496974,130825.87777888724,129880.81996117288,130417.91395763254,129219.52735716685,128651.18397113639
421,206300.0,197999.18344942524,185412.03871854788,202410.95453531083,195107.81402696006,196629.13774583006,201686.33183853538,198102.29782009113,195486.71083781493,193555.38522390425,191531.8317087375,200312.0528735997,197957.34992867708
579,146000.0,160844.16513207596,162369.99373004917,164753.51761646976,168302.9743242799,164237.14198293435,163153.47860543983,166901.1612068178,165095.18339508225,165482.15352204922,164302.4224341042,164358.85647728932,164086.15895011503
84,126500.0,130526.09999342612,134584.3041020305,127663.87948747468,129924.65237579885,131990.43010990962,131984.96437835298,134552.11624046435,131123.4517531586,134484.20949457708,130630.67614112841,129560.71122470798,131251.65802709258
1275,139000.0,127317.72366619608,130726.46165230252,123205.87225055644,126957.32959364406,128572.83253191995,127049.53684520314,126462.4305238506,129534.8220653286,127473.39419033797,128342.55979145184,125781.60017030103,125340.43636718794
49,113000.0,94663.68640837385,92980.43130045164,92755.71955394301,92931.19034661227,93637.79169788574,95774.7057396232,95045.79439933662,95969.3614926487,96862.68622248557,91930.8644908873,96550.71531524933,94982.87541813566
156,79000.0,81487.18300397882,83974.5525224914,82751.57243041515,87078.2270419609,82418.57114897556,86015.59599035962,83014.13563700275,86752.82091739545,85779.56696538051,85201.64317966654,87247.43393843315,87073.51328012216
974,182000.0,206009.39583035914,204179.79018439204,211667.89120288106,212029.40190536177,214802.6911982466,210609.27761620362,210672.033124655,205740.00263502914,205643.31724200817,204407.0326383417,206242.14221832223,214588.6808167416
1111,188000.0,189353.64566721904,186399.6697901444,191213.20007547544,188022.7575599317,189630.17890890522,188120.9272375251,186382.7528783965,187346.48556540746,186578.06676100154,187314.6399283978,186053.6974746323,190938.35117344823
951,129000.0,131433.68244240663,134728.44401316138,128662.68550109676,135164.81920606078,134554.34597137812,133498.65053964782,132394.5785303221,133457.9782391374,133321.24544279434,132963.90657639288,132982.865409169,133150.4009911275
1031,160000.0,136057.78774220342,135920.9903313337,133189.93904951515,135975.13931286143,133874.37548011536,132671.85180772393,132119.70782734506,133363.9662091675,135835.6107990914,136000.29923082519,130362.74063595888,132276.22440461256
1436,174000.0,160254.90266294067,161885.38480275354,159126.8788405124,161926.78316269917,159446.22653219348,161750.02523061252,162553.50447358735,162205.86119651757,166143.6293262684,163213.78928216314,162570.64547142116,161148.15418047938
1197,219210.0,230049.0170463216,230005.87890473113,238110.4045286235,236768.38098421076,235385.5607457101,237202.5621857836,237149.60655216945,233110.94813274677,235680.45891378942,231417.1435341055,233317.40922692983,239893.8209843886
1443,310000.0,320179.75099715905,327326.38868942816,309670.0278825317,328651.5655121491,330146.31090294034,334204.41567949764,318222.46003938105,339233.26814017684,325465.7614013903,309384.6994644502,331039.2784472228,339453.73569384357
482,374000.0,341301.7461595421,334010.8764466685,344773.59085478145,342778.8799612229,332364.95862708957,335506.41939724813,340362.33230648725,340190.20328420785,351824.5847698384,342609.0203428787,338838.7326670984,335540.62525806203
180,100000.0,117521.11689563113,114476.95977863693,116421.15519361153,115383.36255571884,117710.72477376684,118736.79055292747,113656.59781583115,117312.18661282318,114894.49198653169,114648.40857447099,119347.52868139635,118474.53687805215
860,250000.0,233595.98671697942,230676.95292345787,231591.11396362577,223111.44969598972,223907.8092111932,226740.83362899045,225743.57150216377,233058.59288357184,232542.28032034918,231567.46736446308,234086.95310614354,224386.31789958957
1214,145000.0,124410.71639947021,126411.51021217831,122382.45678493171,127974.925559664,126410.19865330379,125280.71892156225,127213.67885144897,129255.76861376835,127847.698596313,125179.24678491327,127758.82859532326,126416.21597185687
584,325000.0,308489.44541146915,270606.27024690027,300943.17566856387,289211.60409153893,285488.0197505815,296375.7267157329,289592.4211139374,279095.4915479083,288041.61095553485,275810.50994526286,287676.59905108577,292891.2633055206
478,380000.0,376435.94188482215,380243.25905044365,369624.9849578685,372401.7710437814,381499.97775411356,387438.2872099086,372322.8603069799,391067.1012851425,386967.7011230254,389835.44906180963,375344.5799736749,376898.8384859174
1406,275000.0,302115.6220714668,299264.0782124401,294324.5138597002,299467.13968727173,294063.6495689205,299576.31127643987,294459.3911580968,296842.1118632596,294880.36411643453,291537.83114906313,297718.7039812506,301549.6552852457
1147,180000.0,176354.8047200597,174203.06470594916,174711.53321767328,173290.56759023943,179212.65312300588,176820.89475302928,173507.34279665185,175291.13063764785,171859.69570477604,174083.88163776294,176090.56650827732,178009.5699009845
1167,245350.0,251388.37529920888,247360.9076501891,245432.94234741587,244922.90480609672,240259.82884398333,242452.4577030011,243405.73794372936,246902.21495774647,245263.63094607,243434.19191339528,241519.72269930437,237335.29191478572
347,151500.0,139243.1843562541,136448.82123247875,139340.42757227164,138203.14063613187,138394.9823330092,138474.55841967094,139999.5926179198,136526.80883592184,137861.57725724374,137317.347658159,139036.18971548136,142241.5914541807
1215,134500.0,131817.46163551524,131017.14111603594,131025.1592640214,131743.0528574428,130138.02868804557,132561.60357305515,132238.33261970902,132041.1783828245,130673.0302592042,130407.01065125279,131145.21410116006,130693.50879520962
1138,94000.0,94581.02460558312,94335.86114273682,95117.8564272652,96123.07454227794,92253.92183345034,91934.33585507145,93077.17316670412,93244.70750918167,96830.16699782189,93809.07587278324,91374.7802399204,94375.28488276369
1366,216000.0,201528.23642932213,204290.3249609669,202295.35456836608,199806.82545895592,200215.11427796815,201280.19997415182,202331.20175956076,199723.15910802674,202735.18786578745,203039.24584743826,200866.0776897372,201911.07765508024
655,350000.0,384077.29671366554,380417.127369009,384109.1126018199,372236.2505518233,375718.88230499596,377089.07001910673,375299.5791483217,383029.56062702136,375162.18546815065,378387.62443878164,380817.5999233754,375429.9473302686
989,195000.0,186679.07881088075,188343.00433741702,192633.54369475332,184286.55877769875,190918.7326107217,188579.20220073307,188246.76938887584,191767.49867851942,187142.1281748734,190076.18533768618,190448.4185420503,186838.12215376194
244,120000.0,134866.52629984423,133778.90254813957,137028.54523953906,136477.43185880102,136654.33324407748,136419.9623562191,139210.83525055833,134548.69605547187,134524.69441758838,134705.5525290833,137900.48843854718,141753.84456293352
1343,228500.0,255351.20412956638,253006.47622675172,251910.65473571312,249708.6903387596,243804.45428877894,247687.77289320718,246598.22538014365,251145.95455756423,249945.5709183541,250538.5535594681,248859.8817360585,242777.64341101891
1058,248000.0,218081.59299631638,224086.41875529275,216759.91007125608,223811.41215058023,216847.80615014388,218686.6098545595,220229.42820419723,219149.60806660648,223172.90004126358,228917.60754843487,216100.0097417294,211189.11749357992
1419,124000.0,134715.74970865063,136550.45343174823,133866.80703044366,132496.36585779072,135789.71728364343,132589.38090843576,134629.7789539681,134441.02913463747,134247.54943285836,131992.94222847748,132299.76295389677,132832.00268588332
1024,191000.0,183563.52748291285,183904.70055056817,180901.5384774786,184326.34597992292,182759.46631111132,183862.1210795209,182232.63022076097,186536.1080007982,182793.15277451975,184832.3125931755,183511.39083060934,181793.904134272
811,181000.0,172126.6223680088,170376.5009187696,171420.69911052182,171896.1732671055,173506.52174360363,174807.49669742223,170854.12031022093,173350.750490651,170186.33907638758,171464.0743519612,174859.85709051864,174042.97471832574
1385,105000.0,111615.6567736171,113847.97840123036,108931.40575934817,111526.03967730113,108531.41724303571,110816.68571152422,110745.91401801686,110876.21954031193,111690.09645817816,108749.23108980629,107197.2015264203,109312.36978568397
627,139900.0,124306.49953203081,125627.76880468318,124719.86803700904,124891.53372148144,122874.68672242448,124984.73611506946,127850.7499349472,122559.65343475313,126009.55417246696,128916.13406966819,124427.02590889565,122739.19645741029
814,157900.0,153318.74151669347,153385.02606948986,153476.44825928012,152134.2889279473,153594.46838400888,150861.1989264411,154063.29962769232,152875.59230808256,154042.54675306362,155111.26548276132,152429.97055550668,153796.41987560302
840,130500.0,128286.16680756076,124810.22286402473,128139.22062072846,125223.02738474487,128426.67469297523,128972.61600268855,124784.58371442521,127492.12512861959,124229.52967148383,121762.57972255962,126933.07201472203,126717.66600507645
371,172400.0,178461.78194828128,178918.2438843675,182300.98541364103,180622.5265270385,177167.95451961213,179660.29503197715,180058.61874013572,182038.41077524167,180494.39892713533,179206.22298607783,179887.9919148685,180392.02881769245
55,130000.0,118158.63080551756,123245.49370323792,119118.26501003894,121833.10266268681,114834.52165096297,118407.82187569665,122571.6784542662,118770.69559966335,123465.19326628873,120887.72667243995,116275.31176780845,118288.88697085064
535,178000.0,194071.20941266607,190304.79827952723,189846.8998210597,187580.57892585732,191561.6026237683,193173.89554558633,191866.36492260348,194136.23572852823,188950.66346801835,193080.88127780013,191317.14632705456,190837.14621442405
786,161500.0,152161.34959728757,160102.49977488193,145642.2644670462,152344.7356667372,146811.0608594413,149538.77736566597,151332.84519063155,152711.3673874721,158676.57122541126,158015.17724620568,146576.9339869926,145884.4862854758
313,119900.0,141959.62052124055,139016.56785472052,138245.59954340023,138770.8402029062,145014.07366884817,139145.09643632913,139023.69283665612,139768.45537000912,137567.365904392,137854.46516394694,141634.30258632422,142133.21930039182
1175,239000.0,215917.6848188172,215696.92513264675,212073.7608490698,212521.03799753185,214450.51196383353,211410.12053449507,214341.5029519637,204551.85865070156,205519.75045830023,209662.26545239295,209947.6315921312,212131.28520882418
110,190000.0,190698.2863223021,181391.47767934107,187334.28842233706,186399.84804604668,183621.1920226256,181610.25999858874,186139.13803931154,186360.23078402394,181765.3533933139,181674.62438942998,183185.6377751133,183514.04639331525
431,85400.0,94926.31754710912,94435.88391209106,94347.7925085327,94884.45384485861,94431.10993117424,95472.11182335632,93546.82478846807,96774.60576892152,95137.50865092373,95648.50782584237,94140.38386775453,94445.99898721515
101,205000.0,219715.9530291281,209667.59501545437,217074.0559707561,211302.55440585496,214726.13289603393,211291.38663473877,207682.4867177092,213588.57820041926,208581.62708226888,212050.06195656888,211724.0586707673,208693.86028801333
514,134000.0,145916.97696812978,144551.4397987546,143712.71026448318,146972.57085224404,143099.00446835248,144030.59803851947,145286.27001618655,147604.9515262094,145720.95763213278,143709.65828695058,146164.69634373757,144850.7354307411
1191,168000.0,176583.1228456247,171921.06858564063,172395.86351491293,172437.5234181474,174686.89118226687,171184.45186513232,170276.6651724361,174195.7832665124,168435.25874611235,169862.0207518229,174580.40586519413,174904.03213785833
267,185000.0,190467.2656696135,185871.3105028994,193757.82533064013,189405.5185222371,191410.2726510127,188699.7906434323,188269.4352734154,188066.89421467273,188840.10382586485,186628.07170549678,191253.39595405385,192171.44551277396
1291,180500.0,165848.94772519765,160672.24121387693,168308.1108128382,163997.45722669543,169955.88341113916,166714.01354460046,163669.02515027046,164525.86550259162,162462.14673198448,162208.53149719143,165246.7822826286,164518.31148576306
297,152000.0,135903.1705895265,135244.0481032307,139094.2506786428,135154.1240634442,141302.15795286934,139653.22608167114,140851.74801073415,139407.57246157315,135646.10501601239,135990.75277331442,138555.62427284068,145335.6212418206
507,215000.0,209461.81457080695,215131.20875949983,215109.46696670903,214800.18044806496,213448.9620369294,211395.3810247533,212140.23229285204,215887.07550646004,211747.60970593867,217095.81881513618,218466.75576440524,210777.4984506148
902,153000.0,145309.55018852526,141740.1006266955,146113.01767866343,146205.21109556957,143360.96639554037,146811.9078953462,143552.34259513186,145408.91974381712,143450.9936441278,141863.035563544,144625.17032535395,144195.32711981144
810,106000.0,125397.60031686006,121900.62562775335,122819.34333049558,121019.59560950471,120520.98020610807,120180.55238873656,123890.59510935197,119509.03370463786,124416.0512912672,124812.27095397621,121561.24944571326,118090.75658102125
378,340000.0,302649.54630993673,282215.9226759117,296777.3503542145,295955.31885176775,295042.83187401446,302780.26332810806,293350.3996109117,293140.6372877692,297997.0812683149,284912.2814265561,298631.6984064806,302800.8691195929
287,159000.0,189944.76782085857,182376.12971477135,193644.98325932233,181901.16511082143,184717.6349071548,183841.48967779867,182473.551229749,182530.1172628148,183092.14467876888,182344.77806644328,185266.68725482383,185891.880251581
1401,120000.0,120693.89817215373,119504.10390899144,121534.22124897623,118862.82580083904,118174.03728253464,118664.88599810105,119512.06662084338,119973.37164073452,118436.59448609219,118652.46368922495,119202.48752240751,120110.03381238304
1049,115000.0,131472.48270354967,143312.68454882436,130632.07310065754,135313.01495966007,134801.7384150262,137879.67942812847,130855.30294842883,134214.88182936652,138726.07096535293,141631.76204098362,130339.42214608204,132651.36634477126
127,128000.0,135840.91396840202,139441.99153257368,137121.53343518235,135732.61499556975,135699.8469665019,135922.04915578713,135375.98090960179,141032.9405661974,137888.57670275323,137760.54551155196,135992.69642942902,134972.49050210667
619,314813.0,322732.66055786726,327145.8785157164,322022.7725173971,314628.11342445173,315795.3957304981,318045.2604788879,333460.51342052384,311470.1314669483,322674.35914406733,324011.81360230345,318855.78607564996,314315.1430419534
293,131000.0,134516.5708098283,141921.74531291053,142780.00832922145,141255.2416660014,141628.33376531646,143035.11827908302,141140.342392434,134777.02511002056,142801.93644233167,142225.2598237932,139151.25096314386,143665.04674537855
528,446261.0,434444.2739540402,452800.1115116128,429018.3761833499,425405.0146593107,435623.8592091695,430934.6359759161,440014.3509641398,452829.54709979,429800.4029039659,440647.875573601,429202.33221442247,423306.81619963556
1256,127500.0,133533.5010632128,134400.02745748623,133776.14596766207,134414.33819151603,135908.3804582856,137102.49617196346,137555.40014828983,133719.31053772432,134455.61968939874,134726.20391866483,134733.90708808412,138680.74896877856
483,155000.0,184491.9046717285,191967.5566709571,182182.346208362,196049.8881544458,187333.87863433835,194489.52141417892,193550.95910271787,190558.2265481944,189183.75811087797,188713.0701922081,187697.34512338781,196117.63733135775
356,177500.0,173188.66704420836,174725.15276909905,173701.70032543034,174881.06084245344,177393.88593546505,171407.88332456903,173697.03079941648,174362.24370758602,174939.52791332576,175224.1002783206,173567.7094985322,171101.13686354348
171,128500.0,119820.30870768003,126067.75845666237,117082.91134917446,122844.84330304163,118934.68032631572,120899.3181723848,122743.55720613098,120403.31160032669,121245.36189126948,123769.32932373906,119700.30836064242,117018.29274006483
1196,176000.0,167713.9773313638,167708.31165003526,166185.678464158,168965.2095437424,168310.12708210398,169484.48337344575,169547.78504453742,168676.03403984624,168551.23057687705,168697.64111258357,169241.51641994715,168843.58789373393
662,402000.0,394658.1747495147,402492.53388862766,392335.3710802633,400825.94469719386,393601.51030121394,386780.4405963055,403629.3588001165,389505.588643921,405463.4319692226,406309.52655016916,395781.2957375274,395847.0778198699
1235,130000.0,113146.8101385297,124714.82780504673,114383.45519032759,119619.13501619024,117012.42308236161,118942.57815412914,118986.45247539133,121135.3132202882,123013.41082218724,125893.22778260938,117698.82021368794,112315.47094418097
210,145000.0,147582.64707981082,146212.3265790621,145907.15323939724,149754.21969325515,145967.90517676476,149632.81713560468,147853.2226717987,148273.60836240038,150103.77009716703,146445.75194253123,147147.65791671647,146325.80883215112
486,147000.0,141606.51966485602,141835.31226449853,142262.06421920354,143763.10655655462,143217.56632841085,142145.66339469177,143025.49275870057,141797.76295829265,143303.114231208,141588.0076236815,144168.77548520034,143569.28284133392
141,115000.0,97612.78964625043,98983.85299784747,96494.88470980637,98039.78919407143,95168.69716068817,95486.95508016042,96582.65564203817,93568.94861202141,97907.58898680343,95619.4821508084,94104.8888120388,97838.76755548548
1190,189000.0,197953.16393689392,195670.35917495482,195757.38665546922,193900.95692032907,193272.960310863,197771.9566651465,193853.59838863063,197353.40823387617,196434.62240269108,193823.3176731999,196368.8901249411,195689.27091733372
944,143000.0,138655.26762529695,142177.0733881832,138667.3434170834,138086.8004498136,144318.84241095837,141567.51554151604,139999.2930602277,140436.91507422112,140139.3698525146,142691.86297179022,143315.1895792596,142424.95933898256
622,240000.0,266827.39675998926,262775.65927310573,263601.6167347731,269759.54483736894,260688.48995808448,261386.7684606518,266441.0639925654,265289.3994032261,267146.5462712027,264173.83631995105,268603.2979899095,267411.95815097453
1158,230000.0,208775.30662404333,209292.99449205358,206169.25929685938,207496.3835212728,208624.69112581908,207646.0386647785,206823.54024181733,212530.49340968684,210076.58933695016,210291.05748207247,208089.69336165278,207135.19100571887
1323,190000.0,214428.60656643752,215976.50156479795,212948.68032253755,211663.8931559127,211762.68559902188,215182.85881662462,209230.64113067265,215127.6956965896,214632.4507587982,214592.61054912602,213762.5001404564,212890.82412739782
705,213000.0,209014.6016322243,207202.50291752256,211245.34233067965,208733.71729438877,210272.38116674445,208774.4634327656,210094.30851044535,210943.22449260543,209719.7307201789,209241.81913706686,210845.64413685238,210166.22523348106
1324,82500.0,76000.60257398569,71092.93541839204,78420.99614380387,75693.43841550424,77221.24344029077,79650.81274091826,75180.03611901654,75387.05632627216,73890.03440395695,72242.32056853913,79292.41588180455,81009.32781818794
200,274900.0,306820.0946591681,306181.16591243556,308462.2142429321,310861.6669521334,315166.2949158595,310253.31807501335,306154.38249317225,305402.7555139396,295479.13119615667,302875.72116046026,307972.6096635035,308652.2678274017
494,155000.0,144693.65259967837,151082.35547157805,141467.61391460718,141884.1019852166,147060.5396666116,145389.42188178742,141870.21591869046,148450.53250386674,148428.2450716858,148058.38717453837,141649.08815934416,143014.1302423899
665,423000.0,390526.65686583344,401367.6003824737,396456.8611297664,402471.2620858093,390796.4431591432,392854.5694095327,398922.9650684168,392125.5261403975,405592.83127451723,397108.5238497014,389161.9689118743,391050.9525378189
1340,128500.0,123409.35155510558,121509.83443157918,123036.92371240044,123862.14873204788,124020.99701070436,122486.48770690714,123522.99660898035,121075.76180512337,125452.37854691903,124542.44623507521,123817.28551673208,125483.59612621937
1059,335000.0,358338.249974051,357719.20982700505,358234.98211223615,357534.1811556079,358945.00387750263,355351.0262413667,355395.9364307256,352325.34423693287,353401.1380067643,350534.14592775615,351370.79494949826,346145.7262687281
1188,262000.0,282570.1194145859,285776.6811418483,285547.63102116535,281812.06428211526,285671.91118359653,293720.5320753776,283349.4000856664,294354.38947293814,279350.6091532307,288119.179760061,292464.418637026,291379.20034186036
11,129500.0,128088.45912562459,130342.52127864261,131683.1011570675,128896.78186121851,125846.47904224489,129175.2526639761,131732.04200635265,130818.31722544697,131634.6205677454,127659.97233961204,131075.99600326174,129715.96369923491
148,222500.0,217442.07901507348,215221.70903019374,215693.099427315,213863.70934142722,218784.99063356602,217179.53715569337,212259.86253877945,217067.27901644818,214707.02494674624,214588.4859407227,214993.05549302776,218337.39175166487
765,270000.0,237346.10037617502,237786.26569232685,230980.15254195582,231490.27582183597,237163.33975816678,232416.61493898157,230826.00411112793,238391.21602762485,235234.3823775335,236519.46694036855,232468.05340487964,231355.92214766363
283,207500.0,215768.0824869557,212320.4250309201,207148.24753342808,216030.927232054,215008.57908538936,212650.95248400394,213577.3591783095,213829.67334195165,213665.19041920794,213123.2675524258,211544.7648073836,213292.99015744275
299,175000.0,174547.18095467458,177329.71251740053,174456.97793710264,175049.2646929064,174650.4721492847,176066.4365471103,175673.32515929383,176289.88914528492,177516.82389799168,178340.18109199087,173402.59133679498,175494.5908118331
919,238000.0,276833.9711928285,255972.19388406948,265666.4206686838,258993.7664615815,286332.77296847815,272181.2471340409,263973.15451627766,262149.52257295186,257134.0474343692,257806.3139740913,266588.2263939155,273721.3955890618
